disease,lead_1,lead_2,mean_importance_score
ASMI,I,II,0.22012878690774623
ASMI,I,III,0.2133579546029751
ASMI,AVR,I,0.1869238303441268
ASMI,AVL,I,0.21133173633691593
ASMI,AVF,I,0.2069981550673644
ASMI,I,V4,0.1852109353511762
ASMI,I,V5,0.18226016447788637
ASMI,II,III,0.2505534811677077
ASMI,AVR,II,0.21835520984270634
ASMI,AVL,II,0.24021890792709136
ASMI,AVF,II,0.22999965032935143
ASMI,AVR,III,0.21597003042010163
ASMI,AVL,III,0.23283096396158903
ASMI,AVF,III,0.22684190223003045
ASMI,AVL,AVR,0.20455773300085311
ASMI,AVF,AVR,0.1957092432005283
ASMI,AVF,AVL,0.21255009771539612
ASMI,AVF,V4,0.18895586700087935
ASMI,AVF,V5,0.1857701893104957
ASMI,V1,V2,0.45671926428645093
ASMI,V1,V3,0.4344610721598832
ASMI,V1,V4,0.3566677409104812
ASMI,V1,V5,0.3594302338889011
ASMI,V1,V6,0.4248382693559695
ASMI,V2,V3,0.4184884003431369
ASMI,V2,V4,0.3435468317392546
ASMI,V2,V5,0.34546997841122823
ASMI,V2,V6,0.4091665944701587
ASMI,V3,V4,0.32727257534785137
ASMI,V3,V5,0.325069143219636
ASMI,V3,V6,0.38539307991281535
ASMI,V4,V5,0.24924755823230124
ASMI,V4,V6,0.30824018513315765
ASMI,V5,V6,0.31328065151587503
ABQRS,I,II,0.2632059255703107
ABQRS,I,III,0.2904912549472954
ABQRS,AVR,I,0.272883904063584
ABQRS,AVL,I,0.24764153499352304
ABQRS,AVF,I,0.22344452884636426
ABQRS,I,V4,0.18435203291083632
ABQRS,I,V5,0.1803507654104186
ABQRS,II,III,0.4013821386398846
ABQRS,AVR,II,0.3734582384607117
ABQRS,AVL,II,0.3446213217736467
ABQRS,AVF,II,0.28887117311162375
ABQRS,AVR,III,0.41126949106098004
ABQRS,AVL,III,0.3787677186590276
ABQRS,AVF,III,0.3205093829422012
ABQRS,AVL,AVR,0.3524600445008591
ABQRS,AVF,AVR,0.2956914975435326
ABQRS,AVF,AVL,0.2624577672524672
ABQRS,AVF,V4,0.18616349309976946
ABQRS,AVF,V5,0.18137280116249857
ABQRS,V1,V2,0.3311639798912956
ABQRS,V1,V3,0.32353377108413134
ABQRS,V1,V4,0.2665012043489045
ABQRS,V1,V5,0.2664017262868583
ABQRS,V1,V6,0.31484620755636383
ABQRS,V2,V3,0.3285358282600186
ABQRS,V2,V4,0.2697079994696143
ABQRS,V2,V5,0.2680512178414747
ABQRS,V2,V6,0.31944654097878616
ABQRS,V3,V4,0.26608178725760234
ABQRS,V3,V5,0.26078199389733764
ABQRS,V3,V6,0.31171254265269166
ABQRS,V4,V5,0.21321658945495361
ABQRS,V4,V6,0.25346037002672483
ABQRS,V5,V6,0.25170429284635343
SR,I,II,0.2948316573349744
SR,I,III,0.28602570852945075
SR,AVR,I,0.2717047930668373
SR,AVL,I,0.2733998450486725
SR,AVF,I,0.2550685087597039
SR,I,V4,0.24336849954926998
SR,I,V5,0.23807552261826972
SR,II,III,0.34434610921767567
SR,AVR,II,0.3222392843757529
SR,AVL,II,0.3274390838822579
SR,AVF,II,0.3008565091497502
SR,AVR,III,0.3184681862784123
SR,AVL,III,0.31721120911521333
SR,AVF,III,0.29315629854573105
SR,AVL,AVR,0.2965887214562455
SR,AVF,AVR,0.27536881372144895
SR,AVF,AVL,0.2698384131145868
SR,AVF,V4,0.23592990317257584
SR,AVF,V5,0.22963287467132282
SR,V1,V2,0.2943712484866606
SR,V1,V3,0.3007777468687491
SR,V1,V4,0.26718305162766426
SR,V1,V5,0.26361131799573856
SR,V1,V6,0.2916183586283504
SR,V2,V3,0.3150151084190802
SR,V2,V4,0.28357973084792093
SR,V2,V5,0.2793515533625479
SR,V2,V6,0.3078978216696896
SR,V3,V4,0.29280809456703044
SR,V3,V5,0.28708486972512776
SR,V3,V6,0.31313049620885386
SR,V4,V5,0.2589399887197264
SR,V4,V6,0.27987124134258606
SR,V5,V6,0.2764405000025889
NORM,I,II,0.3426774483122448
NORM,I,III,0.2859800427252112
NORM,AVR,I,0.27737011051118965
NORM,AVL,I,0.3103272588440393
NORM,AVF,I,0.30334378680232726
NORM,I,V4,0.3299669389736534
NORM,I,V5,0.31984512288676636
NORM,II,III,0.2789345970963783
NORM,AVR,II,0.26223878389242844
NORM,AVL,II,0.30767521428884853
NORM,AVF,II,0.32329666816214536
NORM,AVR,III,0.2059974425234418
NORM,AVL,III,0.24143591301423484
NORM,AVF,III,0.26594166641925815
NORM,AVL,AVR,0.22441583552794284
NORM,AVF,AVR,0.25787937363628116
NORM,AVF,AVL,0.2841029408559351
NORM,AVF,V4,0.31083888643817736
NORM,AVF,V5,0.299452231278514
NORM,V1,V2,0.23459778909783552
NORM,V1,V3,0.25443964600415514
NORM,V1,V4,0.25450165591838925
NORM,V1,V5,0.24787823444029478
NORM,V1,V6,0.24421086316209017
NORM,V2,V3,0.2841173774254794
NORM,V2,V4,0.2943209250072146
NORM,V2,V5,0.28593843924084517
NORM,V2,V6,0.27732098428329616
NORM,V3,V4,0.3217573415716686
NORM,V3,V5,0.3124797392983247
NORM,V3,V6,0.3017929316216177
NORM,V4,V5,0.32029166872917414
NORM,V4,V6,0.30840177417096526
NORM,V5,V6,0.29936635803615697
LAFB,I,II,0.2330068001554658
LAFB,I,III,0.24359276554547257
LAFB,AVR,I,0.20771656452678147
LAFB,AVL,I,0.22579582878388466
LAFB,AVF,I,0.21558498652962343
LAFB,I,V4,0.1909403660676131
LAFB,I,V5,0.18827419632424902
LAFB,II,III,0.2984392582066357
LAFB,AVR,II,0.26550537964329124
LAFB,AVL,II,0.27936220253817745
LAFB,AVF,II,0.2522845432845255
LAFB,AVR,III,0.2787301530006031
LAFB,AVL,III,0.29012459748735026
LAFB,AVF,III,0.26519228688751656
LAFB,AVL,AVR,0.25144942168767254
LAFB,AVF,AVR,0.2267982170823962
LAFB,AVF,AVL,0.23956588464478654
LAFB,AVF,V4,0.19966289840328197
LAFB,AVF,V5,0.19618509031832215
LAFB,V1,V2,0.4193163049127907
LAFB,V1,V3,0.4088783769247433
LAFB,V1,V4,0.3456606561069687
LAFB,V1,V5,0.34060882743137577
LAFB,V1,V6,0.399539399680992
LAFB,V2,V3,0.3901331566926091
LAFB,V2,V4,0.3271775728433084
LAFB,V2,V5,0.32401782643670834
LAFB,V2,V6,0.3782759616306672
LAFB,V3,V4,0.3200404105863224
LAFB,V3,V5,0.3117293153547992
LAFB,V3,V6,0.3688562095972398
LAFB,V4,V5,0.2451234053944548
LAFB,V4,V6,0.30020781844233474
LAFB,V5,V6,0.3012697861747196
LVH,I,II,0.2380251561376181
LVH,I,III,0.2653005494143475
LVH,AVR,I,0.24147532474588262
LVH,AVL,I,0.23299499328840872
LVH,AVF,I,0.21074846100400804
LVH,I,V4,0.18112149680879977
LVH,I,V5,0.1781195616925305
LVH,II,III,0.34526403722099275
LVH,AVR,II,0.31940948699347
LVH,AVL,II,0.306699914285405
LVH,AVF,II,0.2550302394106984
LVH,AVR,III,0.34501194197007207
LVH,AVL,III,0.32849418367174527
LVH,AVF,III,0.29005579760128797
LVH,AVL,AVR,0.3078427810662172
LVH,AVF,AVR,0.25783014647323976
LVH,AVF,AVL,0.24194885173981834
LVH,AVF,V4,0.18434385395524175
LVH,AVF,V5,0.18154147204011675
LVH,V1,V2,0.36765923670069744
LVH,V1,V3,0.3606863792274486
LVH,V1,V4,0.29136887001043016
LVH,V1,V5,0.3055155698955059
LVH,V1,V6,0.3593905525315892
LVH,V2,V3,0.3602342332696374
LVH,V2,V4,0.285132312303917
LVH,V2,V5,0.29925585715608166
LVH,V2,V6,0.35949332252483474
LVH,V3,V4,0.28037246441299263
LVH,V3,V5,0.2917964674701745
LVH,V3,V6,0.345246139361777
LVH,V4,V5,0.22964300510558214
LVH,V4,V6,0.2745500782911073
LVH,V5,V6,0.28979434670033777
ISC_,I,II,0.23935040555894369
ISC_,I,III,0.2651061116283138
ISC_,AVR,I,0.24077622877640856
ISC_,AVL,I,0.23562076558669404
ISC_,AVF,I,0.21254586711525916
ISC_,I,V4,0.18265774632079734
ISC_,I,V5,0.17998315539211038
ISC_,II,III,0.34577801770634137
ISC_,AVR,II,0.31976714178091953
ISC_,AVL,II,0.3088567000048028
ISC_,AVF,II,0.2543124694459968
ISC_,AVR,III,0.34374703339818447
ISC_,AVL,III,0.32957519106980826
ISC_,AVF,III,0.29122466157293997
ISC_,AVL,AVR,0.30822350762784484
ISC_,AVF,AVR,0.2556803516464102
ISC_,AVF,AVL,0.24268221156050765
ISC_,AVF,V4,0.18620756646411293
ISC_,AVF,V5,0.1829317220507397
ISC_,V1,V2,0.36821508098807604
ISC_,V1,V3,0.36193534531113164
ISC_,V1,V4,0.29142129907177544
ISC_,V1,V5,0.30570393808186064
ISC_,V1,V6,0.35838192104879363
ISC_,V2,V3,0.36373581174761055
ISC_,V2,V4,0.28648595941563443
ISC_,V2,V5,0.2998984307381842
ISC_,V2,V6,0.35965942082719676
ISC_,V3,V4,0.2810828167531226
ISC_,V3,V5,0.29165892099340757
ISC_,V3,V6,0.3442767139358653
ISC_,V4,V5,0.23120975757638615
ISC_,V4,V6,0.276702922263907
ISC_,V5,V6,0.29224608304599925
IMI,I,II,0.28365270198698633
IMI,I,III,0.34399404620392265
IMI,AVR,I,0.3321127948269509
IMI,AVL,I,0.26756782431264375
IMI,AVF,I,0.2212792037244428
IMI,I,V4,0.16670546580040665
IMI,I,V5,0.16557598968085493
IMI,II,III,0.5177246347113311
IMI,AVR,II,0.4975775654622685
IMI,AVL,II,0.4276706034833926
IMI,AVF,II,0.3236312249947709
IMI,AVR,III,0.5698826648721917
IMI,AVL,III,0.5003725826897119
IMI,AVF,III,0.38653710884570364
IMI,AVL,AVR,0.4788388392921777
IMI,AVF,AVR,0.3680920455243155
IMI,AVF,AVL,0.2960453912371781
IMI,AVF,V4,0.16790522158930174
IMI,AVF,V5,0.165716751283198
IMI,V1,V2,0.24164615926425356
IMI,V1,V3,0.24704073766954474
IMI,V1,V4,0.1992382318469864
IMI,V1,V5,0.19624967155836484
IMI,V1,V6,0.23459617360467802
IMI,V2,V3,0.26559675822916784
IMI,V2,V4,0.2097388041516145
IMI,V2,V5,0.20513321431843856
IMI,V2,V6,0.2535145046418174
IMI,V3,V4,0.21451493088090626
IMI,V3,V5,0.20803230776075732
IMI,V3,V6,0.255911751019153
IMI,V4,V5,0.17186266635506475
IMI,V4,V6,0.20197821176540084
IMI,V5,V6,0.1996245460037948
SBRAD,I,II,0.31409823666016257
SBRAD,I,III,0.27588030700882277
SBRAD,AVR,I,0.2690397975593805
SBRAD,AVL,I,0.28451441630721097
SBRAD,AVF,I,0.28578186313311266
SBRAD,I,V4,0.2922278422986468
SBRAD,I,V5,0.2791202689583103
SBRAD,II,III,0.2806888146698474
SBRAD,AVR,II,0.25910889455427727
SBRAD,AVL,II,0.2918861699725191
SBRAD,AVF,II,0.3005936799695094
SBRAD,AVR,III,0.23148180135836205
SBRAD,AVL,III,0.2529899702842036
SBRAD,AVF,III,0.2622852981090546
SBRAD,AVL,AVR,0.2343002389123042
SBRAD,AVF,AVR,0.2546867742141088
SBRAD,AVF,AVL,0.268410542793572
SBRAD,AVF,V4,0.2779384167244036
SBRAD,AVF,V5,0.26584115880231063
SBRAD,V1,V2,0.25323955888549493
SBRAD,V1,V3,0.2683594278742869
SBRAD,V1,V4,0.24381119350592295
SBRAD,V1,V5,0.24095114971200624
SBRAD,V1,V6,0.24396363177647196
SBRAD,V2,V3,0.28540799469997485
SBRAD,V2,V4,0.2725922095403075
SBRAD,V2,V5,0.26257931165397175
SBRAD,V2,V6,0.2636442167684435
SBRAD,V3,V4,0.3030679518605272
SBRAD,V3,V5,0.29562718352923795
SBRAD,V3,V6,0.28866347315410773
SBRAD,V4,V5,0.29019282026837273
SBRAD,V4,V6,0.28625893042733275
SBRAD,V5,V6,0.27553961273282773
PAC,I,II,0.2629747793243991
PAC,I,III,0.23562318457497483
PAC,AVR,I,0.21772231073843115
PAC,AVL,I,0.2511007601353857
PAC,AVF,I,0.24327460742659035
PAC,I,V4,0.24366896326343215
PAC,I,V5,0.2456627387636238
PAC,II,III,0.24834806847903465
PAC,AVR,II,0.21704767152667045
PAC,AVL,II,0.25761119809415606
PAC,AVF,II,0.2652765356004238
PAC,AVR,III,0.18818017714553406
PAC,AVL,III,0.22328370395633906
PAC,AVF,III,0.23528125433458227
PAC,AVL,AVR,0.2018972485595279
PAC,AVF,AVR,0.21113960605528617
PAC,AVF,AVL,0.24351615195473028
PAC,AVF,V4,0.24548408173852504
PAC,AVF,V5,0.24109738258851898
PAC,V1,V2,0.35346908412045897
PAC,V1,V3,0.3507825089991092
PAC,V1,V4,0.30621768313977454
PAC,V1,V5,0.3131329846216573
PAC,V1,V6,0.34740150810943715
PAC,V2,V3,0.36518410379687943
PAC,V2,V4,0.3187647669845158
PAC,V2,V5,0.3316270040637916
PAC,V2,V6,0.35984974079661897
PAC,V3,V4,0.3213849294847912
PAC,V3,V5,0.32632942656675973
PAC,V3,V6,0.3445871507955922
PAC,V4,V5,0.26970641632874803
PAC,V4,V6,0.293108224272728
PAC,V5,V6,0.317130041917165
STD_,I,II,0.23893025462968015
STD_,I,III,0.24771731578452244
STD_,AVR,I,0.21949623521736683
STD_,AVL,I,0.2197253606915474
STD_,AVF,I,0.21343978654061035
STD_,I,V4,0.18828931812303398
STD_,I,V5,0.18414342325925825
STD_,II,III,0.30504488068393304
STD_,AVR,II,0.27236104719127924
STD_,AVL,II,0.27437345004507474
STD_,AVF,II,0.2540462253349168
STD_,AVR,III,0.2835092628087315
STD_,AVL,III,0.280190790700061
STD_,AVF,III,0.26637515074440415
STD_,AVL,AVR,0.2532146633608001
STD_,AVF,AVR,0.23087540983302252
STD_,AVF,AVL,0.22582859648977005
STD_,AVF,V4,0.19123409151605206
STD_,AVF,V5,0.18758510359270236
STD_,V1,V2,0.40132111532773285
STD_,V1,V3,0.3940314524599485
STD_,V1,V4,0.3203119824698994
STD_,V1,V5,0.32472015703150214
STD_,V1,V6,0.3829996764447008
STD_,V2,V3,0.3926467912282263
STD_,V2,V4,0.3142181701362133
STD_,V2,V5,0.32526635091219624
STD_,V2,V6,0.3830388872197696
STD_,V3,V4,0.30819502158675877
STD_,V3,V5,0.31485975644418157
STD_,V3,V6,0.3704675528364523
STD_,V4,V5,0.23643972751072465
STD_,V4,V6,0.28601042424355244
STD_,V5,V6,0.2928559813158852
LAO/LAE,I,II,0.2257033606039154
LAO/LAE,I,III,0.24845346376299862
LAO/LAE,AVR,I,0.227439807885223
LAO/LAE,AVL,I,0.22565455754597985
LAO/LAE,AVF,I,0.20059416300720642
LAO/LAE,I,V4,0.1753949347138405
LAO/LAE,I,V5,0.1717251091533237
