disease,lead_1,lead_2,mean_importance_score
LAO/LAE,II,III,0.3118391351401806
LAO/LAE,AVR,II,0.28299396985107
LAO/LAE,AVL,II,0.27814062424831926
LAO/LAE,AVF,II,0.24056198659870376
LAO/LAE,AVR,III,0.30261517223384654
LAO/LAE,AVL,III,0.29187566690974764
LAO/LAE,AVF,III,0.26698295162783725
LAO/LAE,AVL,AVR,0.2676002948813968
LAO/LAE,AVF,AVR,0.2344961668882106
LAO/LAE,AVF,AVL,0.21905478114883115
LAO/LAE,AVF,V4,0.17415208079748684
LAO/LAE,AVF,V5,0.1738469027313921
LAO/LAE,V1,V2,0.4286801364686755
LAO/LAE,V1,V3,0.41669066902663976
LAO/LAE,V1,V4,0.3323239751491281
LAO/LAE,V1,V5,0.3363427846133708
LAO/LAE,V1,V6,0.3899923759202163
LAO/LAE,V2,V3,0.4222659388515683
LAO/LAE,V2,V4,0.3346994484795465
LAO/LAE,V2,V5,0.34322847420970604
LAO/LAE,V2,V6,0.4041252717210187
LAO/LAE,V3,V4,0.31218342146939704
LAO/LAE,V3,V5,0.316897705230448
LAO/LAE,V3,V6,0.3798869984348616
LAO/LAE,V4,V5,0.23447725991408025
LAO/LAE,V4,V6,0.29603517659836337
LAO/LAE,V5,V6,0.2935704324642817
VCLVH,I,II,0.2564154577354591
VCLVH,I,III,0.2614946003953616
VCLVH,AVR,I,0.22913633749882384
VCLVH,AVL,I,0.23847778697808578
VCLVH,AVF,I,0.22679166937867795
VCLVH,I,V4,0.20633036151528356
VCLVH,I,V5,0.20349430926640832
VCLVH,II,III,0.29863409193356844
VCLVH,AVR,II,0.26747327951590205
VCLVH,AVL,II,0.2920057907998562
VCLVH,AVF,II,0.26106282944480574
VCLVH,AVR,III,0.27361350953578956
VCLVH,AVL,III,0.2883298924863339
VCLVH,AVF,III,0.2593984691600004
VCLVH,AVL,AVR,0.25408547526597974
VCLVH,AVF,AVR,0.23053332348664596
VCLVH,AVF,AVL,0.23901173411806428
VCLVH,AVF,V4,0.20129487648606303
VCLVH,AVF,V5,0.20132986415425935
VCLVH,V1,V2,0.358309117068847
VCLVH,V1,V3,0.35883587746818857
VCLVH,V1,V4,0.306816872894764
VCLVH,V1,V5,0.31619786506891256
VCLVH,V1,V6,0.35923340919613833
VCLVH,V2,V3,0.3616788814564545
VCLVH,V2,V4,0.31477808307607974
VCLVH,V2,V5,0.32721968368689214
VCLVH,V2,V6,0.36530871288975075
VCLVH,V3,V4,0.3106735278367997
VCLVH,V3,V5,0.32095723303159074
VCLVH,V3,V6,0.36089734327793116
VCLVH,V4,V5,0.2582429427802564
VCLVH,V4,V6,0.2945232428510984
VCLVH,V5,V6,0.30083931608994796
INVT,I,II,0.22991776266445715
INVT,I,III,0.23013404755542677
INVT,AVR,I,0.20511847600340843
INVT,AVL,I,0.217765951914092
INVT,AVF,I,0.19954829692840576
INVT,I,V4,0.18657700133820376
INVT,I,V5,0.17978475196907912
INVT,II,III,0.2892194339508811
INVT,AVR,II,0.2555421926826239
INVT,AVL,II,0.26449578272799645
INVT,AVF,II,0.24283439420163627
INVT,AVR,III,0.27045266048361855
INVT,AVL,III,0.2581989625220497
INVT,AVF,III,0.25000595800578596
INVT,AVL,AVR,0.24529219972590602
INVT,AVF,AVR,0.21672802464415625
INVT,AVF,AVL,0.21107698665310942
INVT,AVF,V4,0.19097555813690026
INVT,AVF,V5,0.1814653303722541
INVT,V1,V2,0.41828558442493297
INVT,V1,V3,0.40455765494455903
INVT,V1,V4,0.3462252926826478
INVT,V1,V5,0.3404737688352663
INVT,V1,V6,0.40005811401953295
INVT,V2,V3,0.41032962528367845
INVT,V2,V4,0.34414893885453546
INVT,V2,V5,0.3469142118593058
INVT,V2,V6,0.4060653783132632
INVT,V3,V4,0.33795878766725457
INVT,V3,V5,0.34135355273882545
INVT,V3,V6,0.3994494383409618
INVT,V4,V5,0.254077890800933
INVT,V4,V6,0.3261113770430286
INVT,V5,V6,0.32714467926571766
SARRH,I,II,0.3160173861030489
SARRH,I,III,0.3301848560571671
SARRH,AVR,I,0.29971686942502856
SARRH,AVL,I,0.2847369678784162
SARRH,AVF,I,0.2676271307654679
SARRH,I,V4,0.22966088988818228
SARRH,I,V5,0.22387484131380916
SARRH,II,III,0.4125627449247986
SARRH,AVR,II,0.3804619185440242
SARRH,AVL,II,0.37483198950998486
SARRH,AVF,II,0.3334303864557296
SARRH,AVR,III,0.3920805814303458
SARRH,AVL,III,0.3763975269161165
SARRH,AVF,III,0.34633386962115764
SARRH,AVL,AVR,0.3435422693472356
SARRH,AVF,AVR,0.31613142021931706
SARRH,AVF,AVL,0.2939781947713345
SARRH,AVF,V4,0.2280746451858431
SARRH,AVF,V5,0.2211317249573767
SARRH,V1,V2,0.2758302155509591
SARRH,V1,V3,0.2735141392052174
SARRH,V1,V4,0.23810712185688318
SARRH,V1,V5,0.23877928338944912
SARRH,V1,V6,0.2741571532934904
SARRH,V2,V3,0.2987957148067653
SARRH,V2,V4,0.25734765238128604
SARRH,V2,V5,0.25632824305444957
SARRH,V2,V6,0.2958754316624254
SARRH,V3,V4,0.2659639090765268
SARRH,V3,V5,0.2577368643693626
SARRH,V3,V6,0.296613706741482
SARRH,V4,V5,0.2253106056060642
SARRH,V4,V6,0.2550812905747443
SARRH,V5,V6,0.24789018555544318
CRBBB,I,II,0.26191021353006366
CRBBB,I,III,0.27961216079443707
CRBBB,AVR,I,0.2346875297054649
CRBBB,AVL,I,0.2520491117313504
CRBBB,AVF,I,0.22260667076706891
CRBBB,I,V4,0.17878935408592228
CRBBB,I,V5,0.17984882272034886
CRBBB,II,III,0.37536257947981355
CRBBB,AVR,II,0.3445493069365621
CRBBB,AVL,II,0.3664040808305144
CRBBB,AVF,II,0.2935172234848142
CRBBB,AVR,III,0.36536513064056636
CRBBB,AVL,III,0.3848010847568514
CRBBB,AVF,III,0.3062430024817586
CRBBB,AVL,AVR,0.3284720271080732
CRBBB,AVF,AVR,0.26922070440649987
CRBBB,AVF,AVL,0.289895199984312
CRBBB,AVF,V4,0.18611239437758922
CRBBB,AVF,V5,0.18701671335846184
CRBBB,V1,V2,0.37804148967564105
CRBBB,V1,V3,0.3841916873455049
CRBBB,V1,V4,0.32157400462776414
CRBBB,V1,V5,0.3250102697834372
CRBBB,V1,V6,0.3914899075999856
CRBBB,V2,V3,0.3468348747193813
CRBBB,V2,V4,0.28639149048179385
CRBBB,V2,V5,0.29078107849508517
CRBBB,V2,V6,0.3561762075275183
CRBBB,V3,V4,0.28703334470093256
CRBBB,V3,V5,0.28782301121205095
CRBBB,V3,V6,0.35734621474891903
CRBBB,V4,V5,0.2469082052186132
CRBBB,V4,V6,0.30577274560928347
CRBBB,V5,V6,0.3030097198039293
ANEUR,I,II,0.21034680873155595
ANEUR,I,III,0.2280434069931507
ANEUR,AVR,I,0.19586360120773316
ANEUR,AVL,I,0.194697335243225
ANEUR,AVF,I,0.20285384444892407
ANEUR,I,V4,0.18030085295438764
ANEUR,I,V5,0.16876052352786064
ANEUR,II,III,0.2817494428753854
ANEUR,AVR,II,0.2281320746839047
ANEUR,AVL,II,0.2386034119278192
ANEUR,AVF,II,0.2382495892345905
ANEUR,AVR,III,0.2455788017809391
ANEUR,AVL,III,0.24362308581173425
ANEUR,AVF,III,0.2423882434964179
ANEUR,AVL,AVR,0.20804689444601535
ANEUR,AVF,AVR,0.21124436782300474
ANEUR,AVF,AVL,0.20540382681787012
ANEUR,AVF,V4,0.18042937061190603
ANEUR,AVF,V5,0.17041100083291533
ANEUR,V1,V2,0.3978817462772131
ANEUR,V1,V3,0.3953998291939497
ANEUR,V1,V4,0.36300001189112663
ANEUR,V1,V5,0.3443754948824644
ANEUR,V1,V6,0.4239861582815648
ANEUR,V2,V3,0.38140119895339014
ANEUR,V2,V4,0.34787950862944117
ANEUR,V2,V5,0.33280374379456035
ANEUR,V2,V6,0.4144714889973401
ANEUR,V3,V4,0.34663564996421337
ANEUR,V3,V5,0.3262195269167424
ANEUR,V3,V6,0.4042502757459881
ANEUR,V4,V5,0.26945862103998663
ANEUR,V4,V6,0.33929171516001216
ANEUR,V5,V6,0.32230849076807494
ISCAL,I,II,0.2514071574544206
ISCAL,I,III,0.25193116565837576
ISCAL,AVR,I,0.2120132889116512
ISCAL,AVL,I,0.2286905395283418
ISCAL,AVF,I,0.22155264266273544
ISCAL,I,V4,0.18505279059795776
ISCAL,I,V5,0.1836800141457249
ISCAL,II,III,0.33405005483942873
ISCAL,AVR,II,0.2782512820994153
ISCAL,AVL,II,0.29706136350246043
ISCAL,AVF,II,0.27786655718789377
ISCAL,AVR,III,0.28159905725542234
ISCAL,AVL,III,0.29723970192320204
ISCAL,AVF,III,0.276618663589744
ISCAL,AVL,AVR,0.2540169153669301
ISCAL,AVF,AVR,0.22546748575918812
ISCAL,AVF,AVL,0.24136026811950348
ISCAL,AVF,V4,0.18550309754469815
ISCAL,AVF,V5,0.18162984293173343
ISCAL,V1,V2,0.4514993661905036
ISCAL,V1,V3,0.4369173140034956
ISCAL,V1,V4,0.35819276985000154
ISCAL,V1,V5,0.34128496141994696
ISCAL,V1,V6,0.3966531726192026
ISCAL,V2,V3,0.41749566293814594
ISCAL,V2,V4,0.3384614785278546
ISCAL,V2,V5,0.32316201933166566
ISCAL,V2,V6,0.3884540880953565
ISCAL,V3,V4,0.33219806466032475
ISCAL,V3,V5,0.31551677504006553
ISCAL,V3,V6,0.3762500624709271
ISCAL,V4,V5,0.24854690635905544
ISCAL,V4,V6,0.30946443655035066
ISCAL,V5,V6,0.3016182429124328
IVCD,I,II,0.2646374506254991
IVCD,I,III,0.2839669919411342
IVCD,AVR,I,0.27012027661999066
IVCD,AVL,I,0.25392426763971643
IVCD,AVF,I,0.22747202881177273
IVCD,I,V4,0.20922809321681657
IVCD,I,V5,0.20487189527352656
IVCD,II,III,0.3821071103314558
IVCD,AVR,II,0.34214072281122215
IVCD,AVL,II,0.3318768286208311
IVCD,AVF,II,0.2816595886349679
IVCD,AVR,III,0.35545629601677264
IVCD,AVL,III,0.35369084272782003
IVCD,AVF,III,0.3038931539058685
IVCD,AVL,AVR,0.3274783638517061
IVCD,AVF,AVR,0.274394616663456
IVCD,AVF,AVL,0.26265944902102156
IVCD,AVF,V4,0.2059523137509823
IVCD,AVF,V5,0.19952434602379804
IVCD,V1,V2,0.31899917258818944
IVCD,V1,V3,0.32026694837212566
IVCD,V1,V4,0.2587231768767039
IVCD,V1,V5,0.2631215009788672
IVCD,V1,V6,0.2990837222933769
IVCD,V2,V3,0.3291537221074104
IVCD,V2,V4,0.2707096149524053
IVCD,V2,V5,0.27148831103245413
IVCD,V2,V6,0.308087544520696
IVCD,V3,V4,0.27046164361635844
IVCD,V3,V5,0.2657370090186596
IVCD,V3,V6,0.30409596729278554
IVCD,V4,V5,0.21489471219976747
IVCD,V4,V6,0.24207811779777205
IVCD,V5,V6,0.24853829482197765
NST_,I,II,0.2689300159880748
NST_,I,III,0.2686397780248752
NST_,AVR,I,0.25381007589972937
NST_,AVL,I,0.24809106169984893
NST_,AVF,I,0.21881630295744312
NST_,I,V4,0.18311409606383391
NST_,I,V5,0.18424584816281608
NST_,II,III,0.34566964513980414
NST_,AVR,II,0.31967776029155803
NST_,AVL,II,0.32476262890375585
NST_,AVF,II,0.26830192047816054
NST_,AVR,III,0.3335053750070242
NST_,AVL,III,0.3260518006407298
NST_,AVF,III,0.2820352966739582
NST_,AVL,AVR,0.30762558810986
NST_,AVF,AVR,0.27089887758860215
NST_,AVF,AVL,0.2526056301020658
NST_,AVF,V4,0.18660229267982337
NST_,AVF,V5,0.18600036578682752
NST_,V1,V2,0.3629568642148606
NST_,V1,V3,0.3467601320720636
NST_,V1,V4,0.2836106956807467
NST_,V1,V5,0.29633547304914554
NST_,V1,V6,0.3490774724804437
NST_,V2,V3,0.3467832245620397
NST_,V2,V4,0.28771575951805484
NST_,V2,V5,0.2959272366303664
NST_,V2,V6,0.353605849410479
NST_,V3,V4,0.2731133322188487
NST_,V3,V5,0.27724588881318385
NST_,V3,V6,0.33731657243691954
NST_,V4,V5,0.2167466037548505
NST_,V4,V6,0.26228661303336803
NST_,V5,V6,0.27343385317004637
AFIB,I,II,0.23924841746963832
AFIB,I,III,0.2522169337118113
AFIB,AVR,I,0.2372954399055905
AFIB,AVL,I,0.22911639610374424
AFIB,AVF,I,0.20867945622790743
AFIB,I,V4,0.1884681927302369
AFIB,I,V5,0.18369309182244323
AFIB,II,III,0.3336658979593604
AFIB,AVR,II,0.3097995241151916
AFIB,AVL,II,0.2970107069942686
AFIB,AVF,II,0.25177147998302074
AFIB,AVR,III,0.33521170703073344
AFIB,AVL,III,0.3165700528825875
AFIB,AVF,III,0.273063162650775
AFIB,AVL,AVR,0.2940608233020262
AFIB,AVF,AVR,0.2530987635806755
AFIB,AVF,AVL,0.2337700763344765
AFIB,AVF,V4,0.19282293016987814
AFIB,AVF,V5,0.18709501872184098
